File,SP,CS,Date
BB11001,307,2,04/07/2016 0:00:00
BB11002,-7748,2,04/07/2016 0:00:00
BB11003,265,14,04/07/2016 0:00:00
BB11004,-310,10,04/07/2016 0:00:00
BB11005,-46584,2,04/07/2016 0:00:00
BB11006,-6693,2,04/07/2016 0:00:00
BB11007,-3590,5,04/07/2016 0:00:00
BB11008,-830,4,04/07/2016 0:00:00
BB11009,-744,0,04/07/2016 0:00:00
BB11010,-133,18,04/07/2016 0:00:00
BB11011,-1041,2,04/07/2016 0:00:00
BB11012,1707,21,04/07/2016 0:00:00
BB11013,-500,0,04/07/2016 0:00:00
BB11014,1824,16,04/07/2016 0:00:00
BB11015,837,14,04/07/2016 0:00:00
BB11016,-18140,7,04/07/2016 0:00:00
BB11017,-105,14,04/07/2016 0:00:00
BB11018,-130229,9,04/07/2016 0:00:00
BB11019,-5803,5,04/07/2016 0:00:00
BB11020,-3851,2,04/07/2016 0:00:00
BB11021,152,10,04/07/2016 0:00:00
BB11022,-398,3,04/07/2016 0:00:00
BB11023,-2284,3,04/07/2016 0:00:00
BB11024,-964,7,04/07/2016 0:00:00
BB11025,-228,2,04/07/2016 0:00:00
BB11026,-21848,0,04/07/2016 0:00:00
BB11027,-7205,3,04/07/2016 0:00:00
BB11028,-4569,1,04/07/2016 0:00:00
BB11029,139,5,04/07/2016 0:00:00
BB11030,-52376,0,04/07/2016 0:00:00
BB11031,-52891,5,04/07/2016 0:00:00
BB11032,-9661,4,04/07/2016 0:00:00
BB11033,-19740,1,04/07/2016 0:00:00
BB11034,-19487,8,04/07/2016 0:00:00
BB11035,-270,3,04/07/2016 0:00:00
BB11036,-9289,5,04/07/2016 0:00:00
BB11037,-8950,4,04/07/2016 0:00:00
BB11038,-12664,9,04/07/2016 0:00:00
BB12001,11598,23,04/07/2016 0:00:00
BB12002,2234,8,04/07/2016 0:00:00
BB12003,2935,8,04/07/2016 0:00:00
BB12004,26316,17,04/07/2016 0:00:00
BB12005,7485,10,04/07/2016 0:00:00
BB12006,1934,26,04/07/2016 0:00:00
BB12007,30869,113,04/07/2016 0:00:00
BB12008,-13410,12,04/07/2016 0:00:00
BB12009,-970,12,04/07/2016 0:00:00
BB12010,5630,26,04/07/2016 0:00:00
BB12011,8806,25,04/07/2016 0:00:00
BB12012,926,38,04/07/2016 0:00:00
BB12013,23760,74,04/07/2016 0:00:00
BB12014,-6081,4,04/07/2016 0:00:00
BB12015,-26139,4,04/07/2016 0:00:00
BB12016,-5798,12,04/07/2016 0:00:00
BB12017,9166,35,04/07/2016 0:00:00
BB12018,8393,181,04/07/2016 0:00:00
BB12019,10548,94,04/07/2016 0:00:00
BB12020,879,18,04/07/2016 0:00:00
BB12021,1526,8,04/07/2016 0:00:00
BB12022,-487,18,04/07/2016 0:00:00
BB12023,10030,88,04/07/2016 0:00:00
BB12024,2043,44,04/07/2016 0:00:00
BB12025,577,14,04/07/2016 0:00:00
BB12026,6365,22,04/07/2016 0:00:00
BB12027,25356,7,04/07/2016 0:00:00
BB12028,-2723,18,04/07/2016 0:00:00
BB12029,27250,19,04/07/2016 0:00:00
BB12030,3793,31,04/07/2016 0:00:00
BB12031,43583,80,04/07/2016 0:00:00
BB12032,1658,8,04/07/2016 0:00:00
BB12033,-1580,21,04/07/2016 0:00:00
BB12034,2144,31,04/07/2016 0:00:00
BB12035,-46466,15,04/07/2016 0:00:00
BB12036,6519,24,04/07/2016 0:00:00
BB12037,-296758,22,04/07/2016 0:00:00
