File,SP,CS,Date
12asA_1atiA,89770,0,04/07/2016 0:00:00
153l_1cnsA,138910,0,04/07/2016 0:00:00
16pk_1qpg,1278777,56,04/07/2016 0:00:00
19hcA_1duwA,-1508839,0,04/07/2016 0:00:00
1a02N_1a3qA,371817,13,04/07/2016 0:00:00
1a04A_1dz3A,240693,7,04/07/2016 0:00:00
1a04A_1ibjA,256501,1,04/07/2016 0:00:00
1a04A_3chy,239822,7,04/07/2016 0:00:00
1a0cA_1a0dA,1488466,9,04/07/2016 0:00:00
1a0cA_1bxbD,1230524,1,04/07/2016 0:00:00
1a0cA_1ubpC,682164,2,04/07/2016 0:00:00
1a0fA_1hqoA,14153,3,04/07/2016 0:00:00
1a0fA_1ljrA,103865,2,04/07/2016 0:00:00
1a0fA_1pd21,64669,1,04/07/2016 0:00:00
1a0hA_5hpgA,11813,13,04/07/2016 0:00:00
1a0p_1a36A,-239606,0,04/07/2016 0:00:00
1a0p_1ae9A,341741,7,04/07/2016 0:00:00
1a0tP_2mprA,191695,4,04/07/2016 0:00:00
1a12A_1jtdB,-384250,0,04/07/2016 0:00:00
1a1z_1d2zA,-108620,0,04/07/2016 0:00:00
1a28A_2prgA,-141064,1,04/07/2016 0:00:00
1a28A_3erdA,163432,8,04/07/2016 0:00:00
1a2vA_1ksiB,561134,19,04/07/2016 0:00:00
1a36A_1a41,-185576,0,04/07/2016 0:00:00
1a3aA_1a6jA,172015,0,04/07/2016 0:00:00
1a3c_1tc1A,162691,2,04/07/2016 0:00:00
1a3k_1c1lA,236456,7,04/07/2016 0:00:00
1a3k_1lcl,258644,3,04/07/2016 0:00:00
1a3qA_1gof,-1294485,0,04/07/2016 0:00:00
1a44_1qouB,363870,5,04/07/2016 0:00:00
1a49A_1dxeA,229851,3,04/07/2016 0:00:00
1a49A_1pkyC,1300120,19,04/07/2016 0:00:00
1a49A_2tpsA,65633,0,04/07/2016 0:00:00
1a4iA_1b0aA,799878,9,04/07/2016 0:00:00
1a4iA_1ee9A,756015,8,04/07/2016 0:00:00
1a53_1dvjA,-235587,1,04/07/2016 0:00:00
1a53_1hg3A,-74307,0,04/07/2016 0:00:00
1a53_1nsj,-319943,0,04/07/2016 0:00:00
1a53_1qo2A,-211013,0,04/07/2016 0:00:00
1a62_1mjc,134822,0,04/07/2016 0:00:00
1a65A_1aozA,466926,0,04/07/2016 0:00:00
1a65A_1nif,378446,0,04/07/2016 0:00:00
1a6cA_1bmv1,-76502,0,04/07/2016 0:00:00
1a6dA_1ass,245430,3,04/07/2016 0:00:00
1a6dA_1derA,1369215,21,04/07/2016 0:00:00
1a6jA_1hynP,-314746,0,04/07/2016 0:00:00
1a6l_2fdn,-58384,3,04/07/2016 0:00:00
1a6m_1ash,160360,6,04/07/2016 0:00:00
1a6m_1cg5B,112079,12,04/07/2016 0:00:00
1a6m_1ewaA,107872,6,04/07/2016 0:00:00
1a6m_1flp,149114,5,04/07/2016 0:00:00
1a6m_1h97A,103761,6,04/07/2016 0:00:00
1a6m_1hlb,142179,10,04/07/2016 0:00:00
1a6m_1ithA,124441,5,04/07/2016 0:00:00
1a6m_2fal,91748,6,04/07/2016 0:00:00
1a6m_2gdm,89955,7,04/07/2016 0:00:00
1a6m_2hbg,87326,6,04/07/2016 0:00:00
1a6m_2vhbA,176385,4,04/07/2016 0:00:00
1a6m_3sdhA,167807,6,04/07/2016 0:00:00
1a6o_1buhA,565790,21,04/07/2016 0:00:00
1a75A_1b8cB,105278,2,04/07/2016 0:00:00
1a7s_1agjA,471821,4,04/07/2016 0:00:00
1a7s_2cgaB,556296,19,04/07/2016 0:00:00
1a7tA_1e5dA,-199420,1,04/07/2016 0:00:00
1a7tA_1smlA,-205586,1,04/07/2016 0:00:00
1a7w_1aoiA,45367,0,04/07/2016 0:00:00
1a7w_1aoiB,63980,0,04/07/2016 0:00:00
1a7w_1b67B,106655,0,04/07/2016 0:00:00
1a7w_1bh9B,-10378,0,04/07/2016 0:00:00
1a7w_1tafA,22265,0,04/07/2016 0:00:00
1a7w_1tafB,35789,0,04/07/2016 0:00:00
1a8d_1wba,-428688,0,04/07/2016 0:00:00
1a8h_1qqtA,1124073,7,04/07/2016 0:00:00
1a8l_1hyuA,-99631,0,04/07/2016 0:00:00
1a8o_1qrjB,366,21,04/07/2016 0:00:00
1a8rA_1fb1D,514598,4,04/07/2016 0:00:00
1a9nA_1dceA,-1907226,0,04/07/2016 0:00:00
1aba_1h75A,33530,4,04/07/2016 0:00:00
1aba_1kte,37370,3,04/07/2016 0:00:00
