File,SP,CS,Date
group,-27210,0,04/07/2016 0:00:00
group,107,9,04/07/2016 0:00:00
group,73,3,04/07/2016 0:00:00
group,89,6,04/07/2016 0:00:00
group,3189,7,04/07/2016 0:00:00
group,-141484,3,04/07/2016 0:00:00
group,-75817,0,04/07/2016 0:00:00
group,481,23,04/07/2016 0:00:00
group,264,14,04/07/2016 0:00:00
group,-167164,0,04/07/2016 0:00:00
group,-530,0,04/07/2016 0:00:00
group,-39,0,04/07/2016 0:00:00
group,146,4,04/07/2016 0:00:00
group,-2689,0,04/07/2016 0:00:00
group,431,1,04/07/2016 0:00:00
group,276,7,04/07/2016 0:00:00
group,101,4,04/07/2016 0:00:00
group,344,7,04/07/2016 0:00:00
group,305,11,04/07/2016 0:00:00
group,-20,3,04/07/2016 0:00:00
group,1050,1,04/07/2016 0:00:00
group,-6287,0,04/07/2016 0:00:00
group,2190,1,04/07/2016 0:00:00
group,960,37,04/07/2016 0:00:00
group,-14,1,04/07/2016 0:00:00
group,-186477,0,04/07/2016 0:00:00
group,-35426,0,04/07/2016 0:00:00
group,-5443,0,04/07/2016 0:00:00
group,201,4,04/07/2016 0:00:00
group,194,8,04/07/2016 0:00:00
group,171,8,04/07/2016 0:00:00
group,824,15,04/07/2016 0:00:00
group,-4326,0,04/07/2016 0:00:00
group,962,5,04/07/2016 0:00:00
group,-92170,0,04/07/2016 0:00:00
group,530,3,04/07/2016 0:00:00
group,-421,0,04/07/2016 0:00:00
group,-38214,1,04/07/2016 0:00:00
group,397,5,04/07/2016 0:00:00
group,140,2,04/07/2016 0:00:00
group,105,5,04/07/2016 0:00:00
group,355,3,04/07/2016 0:00:00
group,433,20,04/07/2016 0:00:00
group,-296,0,04/07/2016 0:00:00
group,-277,6,04/07/2016 0:00:00
group,225,3,04/07/2016 0:00:00
group,-507,0,04/07/2016 0:00:00
group,444,4,04/07/2016 0:00:00
group,5932,14,04/07/2016 0:00:00
group,369,16,04/07/2016 0:00:00
group,194,8,04/07/2016 0:00:00
group,-26741,0,04/07/2016 0:00:00
group,-6967,0,04/07/2016 0:00:00
group,82,7,04/07/2016 0:00:00
group,459,18,04/07/2016 0:00:00
group,-98,3,04/07/2016 0:00:00
group,-13363,2,04/07/2016 0:00:00
group,-324,2,04/07/2016 0:00:00
group,2848,55,04/07/2016 0:00:00
group,-9585,0,04/07/2016 0:00:00
group,-67638,0,04/07/2016 0:00:00
group,-279,6,04/07/2016 0:00:00
group,-1249,1,04/07/2016 0:00:00
group,6267,30,04/07/2016 0:00:00
group,-2921,3,04/07/2016 0:00:00
group,674,41,04/07/2016 0:00:00
group,-170,10,04/07/2016 0:00:00
group,-26061,0,04/07/2016 0:00:00
group,-1471,2,04/07/2016 0:00:00
group,-12746,1,04/07/2016 0:00:00
group,257,14,04/07/2016 0:00:00
group,1040,6,04/07/2016 0:00:00
group,432,20,04/07/2016 0:00:00
group,921,2,04/07/2016 0:00:00
group,3285,47,04/07/2016 0:00:00
group,3577,2,04/07/2016 0:00:00
group,-174551,8,04/07/2016 0:00:00
group,-88626,0,04/07/2016 0:00:00
group,-58525,0,04/07/2016 0:00:00
group,95,8,04/07/2016 0:00:00
group,252,2,04/07/2016 0:00:00
group,309,6,04/07/2016 0:00:00
group,1332,24,04/07/2016 0:00:00
group,761,10,04/07/2016 0:00:00
group,74,5,04/07/2016 0:00:00
group,215,2,04/07/2016 0:00:00
group,-3122,0,04/07/2016 0:00:00
group,-3933,0,04/07/2016 0:00:00
group,-4095,2,04/07/2016 0:00:00
group,979,14,04/07/2016 0:00:00
group,448,27,04/07/2016 0:00:00
group,-184273,0,04/07/2016 0:00:00
group,1508,13,04/07/2016 0:00:00
group,204,9,04/07/2016 0:00:00
group,-1089,0,04/07/2016 0:00:00
group,131,9,04/07/2016 0:00:00
group,-1653,0,04/07/2016 0:00:00
group,51,5,04/07/2016 0:00:00
group,-217823,0,04/07/2016 0:00:00
group,-67,0,04/07/2016 0:00:00
group,798,5,04/07/2016 0:00:00
group,435,4,04/07/2016 0:00:00
group,10,3,04/07/2016 0:00:00
group,-7,9,04/07/2016 0:00:00
group,-340032,0,04/07/2016 0:00:00
group,-881,4,04/07/2016 0:00:00
group,-41,0,04/07/2016 0:00:00
group,-29034,1,04/07/2016 0:00:00
group,-630,2,04/07/2016 0:00:00
group,-2299,1,04/07/2016 0:00:00
group,282,12,04/07/2016 0:00:00
group,-9768,0,04/07/2016 0:00:00
group,128,1,04/07/2016 0:00:00
group,-9902,0,04/07/2016 0:00:00
group,315,3,04/07/2016 0:00:00
group,-280765,0,04/07/2016 0:00:00
group,503,32,04/07/2016 0:00:00
group,-960,2,04/07/2016 0:00:00
group,1670,6,04/07/2016 0:00:00
group,3062,6,04/07/2016 0:00:00
group,241,4,04/07/2016 0:00:00
group,88,5,04/07/2016 0:00:00
group,-2128,2,04/07/2016 0:00:00
group,304,13,04/07/2016 0:00:00
group,-698,1,04/07/2016 0:00:00
group,-83021,1,04/07/2016 0:00:00
group,244,12,04/07/2016 0:00:00
group,-6373,4,04/07/2016 0:00:00
group,792,17,04/07/2016 0:00:00
group,-1601,1,04/07/2016 0:00:00
group,-63271,0,04/07/2016 0:00:00
group,516,24,04/07/2016 0:00:00
group,-52484,0,04/07/2016 0:00:00
group,769,33,04/07/2016 0:00:00
group,1950,27,04/07/2016 0:00:00
group,-10556,5,04/07/2016 0:00:00
group,270,10,04/07/2016 0:00:00
group,-60832,0,04/07/2016 0:00:00
group,508,3,04/07/2016 0:00:00
group,1112,46,04/07/2016 0:00:00
group,298,11,04/07/2016 0:00:00
group,798,42,04/07/2016 0:00:00
group,-57650,0,04/07/2016 0:00:00
group,-6943,0,04/07/2016 0:00:00
group,-58087,0,04/07/2016 0:00:00
group,-764,4,04/07/2016 0:00:00
group,1058,3,04/07/2016 0:00:00
group,-1124,3,04/07/2016 0:00:00
group,-364,0,04/07/2016 0:00:00
group,955,42,04/07/2016 0:00:00
group,856,44,04/07/2016 0:00:00
group,479,9,04/07/2016 0:00:00
group,874,32,04/07/2016 0:00:00
group,-18866,1,04/07/2016 0:00:00
group,426,7,04/07/2016 0:00:00
group,1758,19,04/07/2016 0:00:00
group,-728407,0,04/07/2016 0:00:00
group,-20807,1,04/07/2016 0:00:00
group,-208628,0,04/07/2016 0:00:00
group,-1353,2,04/07/2016 0:00:00
group,-4092,2,04/07/2016 0:00:00
group,476,26,04/07/2016 0:00:00
group,313,18,04/07/2016 0:00:00
group,388,13,04/07/2016 0:00:00
group,-904,5,04/07/2016 0:00:00
group,-316274,0,04/07/2016 0:00:00
group,-66249,0,04/07/2016 0:00:00
group,1347,56,04/07/2016 0:00:00
group,138,21,04/07/2016 0:00:00
group,-2632,5,04/07/2016 0:00:00
group,-35003,0,04/07/2016 0:00:00
group,-3822,3,04/07/2016 0:00:00
group,25,1,04/07/2016 0:00:00
group,3182,10,04/07/2016 0:00:00
group,-151,6,04/07/2016 0:00:00
group,-4281,0,04/07/2016 0:00:00
group,-7037,1,04/07/2016 0:00:00
group,146,2,04/07/2016 0:00:00
group,-85,16,04/07/2016 0:00:00
group,887,46,04/07/2016 0:00:00
group,-7930,1,04/07/2016 0:00:00
group,-3688,2,04/07/2016 0:00:00
group,-67318,0,04/07/2016 0:00:00
group,-15358,0,04/07/2016 0:00:00
group,994,20,04/07/2016 0:00:00
group,-5382,0,04/07/2016 0:00:00
group,-37942,0,04/07/2016 0:00:00
group,893,5,04/07/2016 0:00:00
group,26,7,04/07/2016 0:00:00
group,-130598,0,04/07/2016 0:00:00
group,-571961,0,04/07/2016 0:00:00
group,1966,10,04/07/2016 0:00:00
group,675,38,04/07/2016 0:00:00
group,-1086,1,04/07/2016 0:00:00
group,462,15,04/07/2016 0:00:00
group,-7465,2,04/07/2016 0:00:00
group,239,16,04/07/2016 0:00:00
group,-185097,0,04/07/2016 0:00:00
group,-557,2,04/07/2016 0:00:00
group,606,25,04/07/2016 0:00:00
group,-16,6,04/07/2016 0:00:00
group,1445,1,04/07/2016 0:00:00
group,-55827,0,04/07/2016 0:00:00
group,944,20,04/07/2016 0:00:00
group,-106066,0,04/07/2016 0:00:00
group,-26167,0,04/07/2016 0:00:00
group,-228,3,04/07/2016 0:00:00
group,428,17,04/07/2016 0:00:00
group,-1507,1,04/07/2016 0:00:00
group,-31709,0,04/07/2016 0:00:00
group,-160,12,04/07/2016 0:00:00
group,-9106,0,04/07/2016 0:00:00
group,244,5,04/07/2016 0:00:00
group,-571754,0,04/07/2016 0:00:00
group,-324256,1,04/07/2016 0:00:00
group,-7305,0,04/07/2016 0:00:00
group,-690772,0,04/07/2016 0:00:00
group,2354,9,04/07/2016 0:00:00
group,438,27,04/07/2016 0:00:00
group,1029,38,04/07/2016 0:00:00
group,171,16,04/07/2016 0:00:00
group,1921,93,04/07/2016 0:00:00
group,-717,13,04/07/2016 0:00:00
group,-459,0,04/07/2016 0:00:00
group,-128,5,04/07/2016 0:00:00
group,137,10,04/07/2016 0:00:00
group,50,22,04/07/2016 0:00:00
group,647,46,04/07/2016 0:00:00
group,4712,23,04/07/2016 0:00:00
group,-1404,0,04/07/2016 0:00:00
group,2763,133,04/07/2016 0:00:00
group,-286,16,04/07/2016 0:00:00
group,2289,110,04/07/2016 0:00:00
group,1759,11,04/07/2016 0:00:00
group,-6012,2,04/07/2016 0:00:00
group,-30783,1,04/07/2016 0:00:00
group,-225866,0,04/07/2016 0:00:00
group,-52753,0,04/07/2016 0:00:00
group,-58,5,04/07/2016 0:00:00
group,113,9,04/07/2016 0:00:00
group,-23341,0,04/07/2016 0:00:00
group,-216966,0,04/07/2016 0:00:00
group,-822,1,04/07/2016 0:00:00
group,482,22,04/07/2016 0:00:00
group,2016,2,04/07/2016 0:00:00
group,201,1,04/07/2016 0:00:00
group,-363,1,04/07/2016 0:00:00
group,2,5,04/07/2016 0:00:00
group,-190,7,04/07/2016 0:00:00
group,-42087,0,04/07/2016 0:00:00
group,-18989,0,04/07/2016 0:00:00
group,-126,1,04/07/2016 0:00:00
group,143,11,04/07/2016 0:00:00
group,-29476,3,04/07/2016 0:00:00
group,107,7,04/07/2016 0:00:00
group,2766,5,04/07/2016 0:00:00
group,-31756,0,04/07/2016 0:00:00
group,389,4,04/07/2016 0:00:00
group,-283,0,04/07/2016 0:00:00
group,-9398,0,04/07/2016 0:00:00
group,-2701,0,04/07/2016 0:00:00
group,4337,5,04/07/2016 0:00:00
group,108,9,04/07/2016 0:00:00
group,-21343,0,04/07/2016 0:00:00
group,132,1,04/07/2016 0:00:00
group,-9330,1,04/07/2016 0:00:00
group,-982,0,04/07/2016 0:00:00
group,289,15,04/07/2016 0:00:00
group,593,15,04/07/2016 0:00:00
group,355,19,04/07/2016 0:00:00
group,-17,0,04/07/2016 0:00:00
group,369,7,04/07/2016 0:00:00
group,8649,11,04/07/2016 0:00:00
group,-3590,4,04/07/2016 0:00:00
group,-577,3,04/07/2016 0:00:00
group,-116,5,04/07/2016 0:00:00
group,327,7,04/07/2016 0:00:00
group,-27658,4,04/07/2016 0:00:00
group,-279,0,04/07/2016 0:00:00
group,85,3,04/07/2016 0:00:00
group,37,1,04/07/2016 0:00:00
group,1978,41,04/07/2016 0:00:00
group,-28018,0,04/07/2016 0:00:00
group,125,6,04/07/2016 0:00:00
group,2573,5,04/07/2016 0:00:00
group,-25,7,04/07/2016 0:00:00
group,-95,3,04/07/2016 0:00:00
group,298,13,04/07/2016 0:00:00
group,-257,1,04/07/2016 0:00:00
group,-322,3,04/07/2016 0:00:00
group,2534,38,04/07/2016 0:00:00
group,590,30,04/07/2016 0:00:00
group,213,8,04/07/2016 0:00:00
group,1002,7,04/07/2016 0:00:00
group,262,2,04/07/2016 0:00:00
group,271,13,04/07/2016 0:00:00
group,236,1,04/07/2016 0:00:00
group,-26515,0,04/07/2016 0:00:00
group,510,0,04/07/2016 0:00:00
group,171,10,04/07/2016 0:00:00
group,-425,3,04/07/2016 0:00:00
group,398,8,04/07/2016 0:00:00
group,-471254,0,04/07/2016 0:00:00
group,190,13,04/07/2016 0:00:00
group,-32518,2,04/07/2016 0:00:00
group,902,13,04/07/2016 0:00:00
group,387,5,04/07/2016 0:00:00
group,-2738,0,04/07/2016 0:00:00
group,-8828,1,04/07/2016 0:00:00
group,-30898,0,04/07/2016 0:00:00
group,-5815,1,04/07/2016 0:00:00
group,511,20,04/07/2016 0:00:00
group,-275,3,04/07/2016 0:00:00
group,126,0,04/07/2016 0:00:00
group,-62,10,04/07/2016 0:00:00
group,-54,6,04/07/2016 0:00:00
group,1511,31,04/07/2016 0:00:00
group,355,15,04/07/2016 0:00:00
group,-2070,6,04/07/2016 0:00:00
group,2009,20,04/07/2016 0:00:00
group,-164,1,04/07/2016 0:00:00
group,1233,18,04/07/2016 0:00:00
group,479,29,04/07/2016 0:00:00
group,-111,0,04/07/2016 0:00:00
group,404,9,04/07/2016 0:00:00
group,-1634,2,04/07/2016 0:00:00
group,301,18,04/07/2016 0:00:00
group,-5894,0,04/07/2016 0:00:00
group,1221,78,04/07/2016 0:00:00
group,221,13,04/07/2016 0:00:00
group,336,4,04/07/2016 0:00:00
